x-axis,1,2,3
second,Volt,Volt,Volt
-10.50000E-03,+20.10050E-03,+14.47236E-03,-80.40201E-03
-10.48950E-03,+19.29648E-03,+14.47236E-03,-80.40201E-03
-10.47900E-03,+19.29648E-03,+14.07035E-03,-80.40201E-03
-10.46850E-03,+18.49246E-03,+13.66834E-03,-80.40201E-03
-10.45800E-03,+18.49246E-03,+12.86432E-03,-80.40201E-03
-10.44750E-03,+18.09045E-03,+12.86432E-03,-75.37688E-03
-10.43700E-03,+17.68844E-03,+12.86432E-03,-74.37186E-03
-10.42650E-03,+16.88442E-03,+12.26131E-03,-69.34673E-03
-10.41600E-03,+16.08040E-03,+12.06030E-03,-68.34171E-03
-10.40550E-03,+16.28141E-03,+11.85930E-03,-71.35678E-03
-10.39500E-03,+16.08040E-03,+11.25628E-03,-68.34171E-03
-10.38450E-03,+15.27638E-03,+11.25628E-03,-64.32161E-03
-10.37400E-03,+15.27638E-03,+10.45226E-03,-68.34171E-03
-10.36350E-03,+14.47236E-03,+10.45226E-03,-60.30151E-03
-10.35300E-03,+14.07035E-03,+10.45226E-03,-62.31156E-03
-10.34250E-03,+13.66834E-03,+9.64824E-03,-60.30151E-03
-10.33200E-03,+12.86432E-03,+9.64824E-03,-56.28141E-03
-10.32150E-03,+12.26131E-03,+8.84422E-03,-59.29648E-03
-10.31100E-03,+12.06030E-03,+9.24623E-03,-56.28141E-03
-10.30050E-03,+11.85930E-03,+8.84422E-03,-52.26131E-03
-10.29000E-03,+11.25628E-03,+8.04020E-03,-52.26131E-03
-10.27950E-03,+11.25628E-03,+8.04020E-03,-49.24623E-03
-10.26900E-03,+10.45226E-03,+8.04020E-03,-50.25126E-03
-10.25850E-03,+10.25126E-03,+7.23618E-03,-47.23618E-03
-10.24800E-03,+9.64824E-03,+7.23618E-03,-44.22111E-03
-10.23750E-03,+9.04523E-03,+6.43216E-03,-44.22111E-03
-10.22700E-03,+8.84422E-03,+6.03015E-03,-42.21105E-03
